Name,Size,Type,Alignment,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,SavingThrows,Skills,WRI,Senses,Languages,CR,Additional,Font,AdditionalInfo,Author
"Eidolon, Sacred Statue",Large,construct,ANY,19,95,25 ft.,19,8,19,14,19,16,Wis,,"Acidres, fireres, lightningres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Any,12,"False Appearance, Ghostly Inhabitant, Inert",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eladrin, Autumn",Medium,fey,chaotic neutral,19,127,30 ft.,12,16,16,14,17,18,,"Insight, Medicine",Nonmagicalres,Darkvision 60,"Common, Elvish, Sylvan",10,"Enchanting Presence, Fey Step, Innate Spellcasting, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eladrin, Spring",Medium,fey,chaotic neutral,19,127,30 ft.,14,16,16,18,11,18,,"Deception, Persuasion",Nonmagicalres,Darkvision 60,"Common, Elvish, Sylvan",10,"Fey Step, Innate Spellcasting, Joyful Presence, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eladrin, Summer",Medium,fey,chaotic neutral,19,127,50 ft.,19,21,16,14,12,18,,"Athletics, Intimidation",Nonmagicalres,Darkvision 60,"Common, Elvish, Sylvan",10,"Fearsome Presence, Fey Step, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eladrin, Winter",Medium,fey,chaotic neutral,19,127,30 ft.,11,10,16,18,17,13,,,"Coldres, nonmagicalres",Darkvision 60,"Common, Elvish, Sylvan",10,"Fey Step, Innate Spellcasting, Magic Resistance, Sorrowful Presence",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elder Elemental, Elder Tempest",Gargantuan,elemental,neutral,19,264,fly 120 ft.,23,28,23,2,21,18,"Wis, Cha",,"Nonmagicalres, lightningimmu, poisonimmu, thunderimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu",Darkvision 60,,23,"Air Form, Flyby, Legendary, Living Storm, Siege Monster",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elder Elemental, Leviathan",Gargantuan,elemental,neutral,17,328,"40 ft., swim 120 ft.",30,24,30,2,18,17,"Wis, Cha",,"Nonmagicalres, acidimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu",Darkvision 60,,20,"Legendary, Partial Freeze, Siege Monster, Water Form",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elder Elemental, Phoenix",Gargantuan,elemental,neutral,18,175,"20 ft., fly 120 ft.",19,26,25,2,21,18,"Wis, Cha",,"Nonmagicalres, fireimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu",Darkvision 60,,16,"Fiery Death and Rebirth, Fire Form, Flyby, Illumination, Legendary, Siege Monster",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elder Elemental, Zaratan",Gargantuan,elemental,neutral,21,307,"40 ft., swim 40 ft.",30,10,30,2,21,18,"Wis, Cha",,"Thunderweak, coldres, fireres, lightningres, nonmagicalres, poisonimmu, exhaustionimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, stunnedimmu","Darkvision 60, tremorsense 60",,22,"Earth-Shaking Movement, Legendary, Magic Weapons, Siege Monster",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental Myrmidon, Air",Medium,elemental,neutral,18,117,"30 ft., fly 30 ft.",18,14,14,9,10,10,,,"Lightningres, thunderres, nonmagicalres, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Auran, Any",7,Magic Weapons,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental Myrmidon, Earth",Medium,elemental,neutral,18,127,30 ft.,18,10,17,8,10,10,,,"Nonmagicalres, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Terran, Any",7,Magic Weapons,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental Myrmidon, Fire",Medium,elemental,neutral,18,123,40 ft.,13,18,15,9,10,10,,,"Nonmagicalres, fireimmu, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Ignan, Any",7,"Illumination, Magic Weapons, Water Susceptibility",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental Myrmidon, Water",Medium,elemental,neutral,18,127,"40 ft., swim 40 ft.",18,14,15,8,10,10,,,"Acidres, nonmagicalres, poisonimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu",Darkvision 60,"Aquan, Any",7,Magic Weapons,Mordenkainen's Tome of Foes,,Wizards of the Coast
"Elemental, Air",Large,elemental,neutral,15,90,fly 90 ft.,14,20,14,6,10,6,,,"Lightningres, thunderres, nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Auran,5,Air Form,Monster Manual,,Wizards of the Coast
"Elemental, Earth",Large,elemental,neutral,17,126,"30 ft., burrow 30 ft.",20,8,20,5,10,5,,,"Thunderweak, nonmagicalres, poisonimmu, exhaustionimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, unconsciousimmu","Darkvision 60, tremorsense 60",Terran,5,"Earth Glide, Siege Monster",Monster Manual,,Wizards of the Coast
"Elemental, Fire",large,elemental,neutral,13,102,50 ft.,10,17,16,6,10,7,,,"Nonmagicalres, fireimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Ignan,5,"Fire Form, Illumination, Water Susceptibility",Monster Manual,,Wizards of the Coast
"Elemental, Water",Large,elemental,neutral,14,114,"30 ft., swim 90 ft.",18,14,18,5,10,8,,,"Acidres, nonmagicalres, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, unconsciousimmu",Darkvision 60,Aquan,5,"Water Form, Freeze",Monster Manual,,Wizards of the Coast
Empyrean,Huge,celestial,chaotic good OR neutral evil,22,313,"50 ft., fly 50 ft., swim 50 ft.",30,21,30,21,22,27,"Str, Int, Wis, Cha","Insight, Persuasion",Nonmagicalimmu,Truesight 120,All,23,"Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons",Monster Manual,,Wizards of the Coast
Eternal Flame Guardian,Medium,humanoid (human),chotic evil,17,45,30 ft.,15,13,14,8,11,13,,"Intimidation, Perception",Fireres,Normal,Common,2,Flaming Weapon,Princes of the Apocalypse,,Wizards of the Coast
Eternal Flame Priest,Medium,humanoid (human),neutral evil,12,52,30 ft.,12,15,14,10,11,16,,"Deception, Intimidation, Religion",Fireres,Normal,"Common, Ignan",3,Normal Spellcasting,Princes of the Apocalypse,,Wizards of the Coast
"Eternal Flame, Flamewrath",Medium,humanoid (human),chotic evil,12,105,30 ft.,10,14,16,11,10,16,,"Arcana, Religion",Fireimmu,Normal,"Common, Ignan",6,"Normal Spellcasting, Wreathed in Flame",Princes of the Apocalypse,,Wizards of the Coast
"Eternal Flame, Razerblast",Medium,humanoid (human),chotic evil,17,112,30 ft.,16,11,16,9,10,13,,"Intimidation, Perception",Fireimmu,Normal,"Common, Ignan",5,"Searing Armor, Shrapnel Explosion",Princes of the Apocalypse,,Wizards of the Coast
Ettercap,Medium,monstrosity,neutral evil,13,44,"30 ft., climb 30 ft.",14,15,13,7,12,8,,"Perception, Stealth, Survival",,Darkvision 60,,2,"Spider Climb, Web Sense, Web Walker",Monster Manual,,Wizards of the Coast
Ettin,large,giant,chotic evil,12,85,40' ft.,21,8,17,6,10,8,,Perception,,Darkvision 60,"Giant, Orc",4,"Two Heads, Wakeful",Monster Manual,,Wizards of the Coast
Faerie Dragon,Tiny,dragon,chaotic good,15,14,"10 ft., fly 60 ft.",3,20,13,14,12,16,,"Arcana, Perception, Stealth",,Darkvision 60,"Draconic, Sylvan",1,"Superior Invisibility, Limited Telepathy, Magic Resistance, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Firenewt Warlock of Imix,Medium,humanoid (firenewt),neutral evil,10,33,30 ft.,13,11,12,9,11,14,,,Fireimmu,Darkvision 120,"Draconic, Ignan",1,"Amphibious, Innate Spellcasting, Normal Spellcasting, Imix's Blessing",Volo's Guide to Monsters,,Wizards of the Coast
Firenewt Warrior,Medium,humanoid (firenewt),neutral evil,16,22,30 ft.,10,13,12,7,11,8,,,Fireimmu,Normal,"Draconic, Ignan",1/2,Amphibious,Volo's Guide to Monsters,,Wizards of the Coast
Flail Snail,Large,elemental,unaligned,16,52,10 ft.,17,5,20,3,10,5,,,"Fireimmu, poisonimmu, poisonedimmu","Darkvision 60, tremorsense 60",,3,"Antimagic Shell, Flail Tentacles",Volo's Guide to Monsters,,Wizards of the Coast
Flameskull,Tiny,undead,neutral evil,13,40,fly 40 ft.,1,17,14,16,10,11,,"Arcana, Perception","Lightningres, necroticres, piercingres, coldimmu, fireimmu, poisonimmu, charmedimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 60,Common,4,"Illumination, Magic Resistance, Rejuvenation, Normal Spellcasting",Monster Manual,,Wizards of the Coast
Flumph,Small,aberration,lawful good,12,7,"5 ft., fly 30 ft.",6,15,10,14,14,11,,"Arcana, History, Religion",Psychicweak,Darkvision 60,"Undercommon, telepathy 60",1/8,"Advanced Telepathy, Prone Deficiency, Telepathic Shroud",Monster Manual,,Wizards of the Coast
Flying Monkey,Small,beast,unaligned,12,3,"20 ft., climb 20 ft., fly 30 ft.",8,14,11,5,12,6,,,,Normal,,0,Pack Tactics,Tomb of Annihilation,,Wizards of the Coast
Fomorian,Huge,giant,chotic evil,14,149,30 ft.,23,10,20,9,14,6,,"Perception, Stealth",,Darkvision 120,"Giant, Undercommon",8,,Monster Manual,,Wizards of the Coast
Froghemoth,Huge,monstrosity,unaligned,14,184,"30 ft., swim 30 ft.",23,13,20,2,12,5,"Con, Wis","Perception, Stealth","Fireres, lightningres",Darkvision 60,,10,"Amphibious, Shock SUsceptibility",Volo's Guide to Monsters,,Wizards of the Coast
"Fungus, Gas Spore",Large,plant,unaligned,5,1,fly 10 ft.,5,1,3,1,1,1,,,"Poisonimmu, blindedimmu, deafenedimmu, frightenedimmu, paralyzedimmu, poisonedimmu, proneimmu",Blindsight 30,,1/2,"Death Burst, Eerie Resemblance",Monster Manual,,Wizards of the Coast
"Fungus, Shrieker",Medium,plant,unaligned,5,13,ft.,1,1,10,1,10,3,,,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,,0,False Appearance,Monster Manual,,Wizards of the Coast
"Fungus, Violet",Medium,plant,unaligned,5,18,5 ft.,3,1,10,1,3,1,,,"Blindedimmu, deafenedimmu, frightenedimmu",Blindsight 30,,1/4,False Appearance,Monster Manual,,Wizards of the Coast
Galeb Duhr,Medium,elemental,neutral,16,85,"15 ft., rolling ft.",20,14,20,11,12,11,,,"Nonmagicalres, poisonimmu, exhaustionimmu, paralyzedimmu, poisonedimmu, petrifiedimmu","Darkvision 60, tremorsense 60",Terran,6,"False Appearance, Rolling Charge",Monster Manual,,Wizards of the Coast
Gargoyle,Medium,elemental,chotic evil,15,52,"30 ft., fly 60 ft.",15,11,16,6,11,7,,,"Nonadamantineres, poisonimmu, exhaustionimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Terran,2,False Appearance,Monster Manual,,Wizards of the Coast
"Gargoyle, Giant Four-Armed",Large,elemental,chotic evil,17,147,"30 ft., fly 60 ft.",19,11,20,6,11,9,Wis,Perception,"Nonmagicalres, nonadamantineres, poisonimmu, exhaustionimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Terran,10,False Appearance,Tomb of Annihilation,,Wizards of the Coast
"Genie, Dao",Large,elemental,neutral evil,18,187,"30 ft., burrow 30 ft., fly 30 ft.",23,12,24,12,13,14,"Int, Wis, Cha",,Petrifiedimmu,Darkvision 120,Terran,11,"Earth Glide, Elemental Demise, Innate Spellcasting, Sure-Footed",Monster Manual,,Wizards of the Coast
"Genie, Djinni",Large,elemental,chaotic good,17,161,"30 ft., fly 90 ft.",21,15,22,15,16,20,"Dex, Wis, Cha",,"Lightningimmu, thunderimmu",Darkvision 120,Auran,11,"Elemental Demise, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Genie, Efreeti",Large,elemental,lawful evil,17,200,"40 ft., fly 60 ft.",22,12,24,16,15,16,"Int, Wis, Cha",,Fireimmu,Darkvision 120,Ignan,11,"Elemental Demise, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Genie, Marid",Large,elemental,chaotic neutral,17,229,"30 ft., fly 60 ft., swim 90 ft.",22,12,26,18,17,18,"Dex, Wis, Cha",,"Acidimmu, coldimmu, lightningimmu","Blindsight 30, darkvision 120",Aquan,11,"Amphibious, Elemental Demise, Innate Spellcasting",Monster Manual,,Wizards of the Coast
Geonid,Small,elemental,neutral,17,26,30 ft.,12,10,16,9,14,11,,"Perception, Stealth",,"Darkvision 60, tremorsense 30",Terran,1/4,Boulder Guise,The Tortle Package,,Wizards of the Coast
Ghost,Medium,undead,ANY,11,45,fly 40 ft.,7,13,10,10,12,17,,,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,4,"Ethereal Sight, Incorporeal Movement",Monster Manual,,Wizards of the Coast
Ghoul,Medium,undead,chotic evil,12,22,30 ft.,13,15,10,7,10,6,,,"Poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,1,,Monster Manual,,Wizards of the Coast
"Ghoul, Ghast",Medium,undead,chotic evil,13,36,30 ft.,16,17,10,11,10,8,,,"Necroticres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,2,"Stench, Turning Defiance",Monster Manual,,Wizards of the Coast
Giant Crayfish,Large,beast,unaligned,15,45,"30 ft., swim 30 ft.",15,13,13,1,9,3,,Stealth,,Blindsight 30,,2,Amphibious,Tales from the Yawning Portal,,Wizards of the Coast
Giant Fly,Large,beast,unaligned,11,19,"30 ft., fly 60 ft.",14,13,13,2,10,3,,,,Darkvision 60,,0,,Dungeon Master's Guide,,Wizards of the Coast
Giant Ice Toad,Large,monstrosity,neutral,14,52,30 ft.,16,13,14,8,10,6,,,Coldimmu,Darkvision 60,Own,3,"Amphibious, Cold Aura, Standing Leap",Tales from the Yawning Portal,,Wizards of the Coast
Giant Lightning Eel,Large,beast,unaligned,13,42,"5 ft., swim 30 ft.",11,17,16,2,12,3,,,Lightningres,Blindsight 60,,3,Water Breathing,Tales from the Yawning Portal,,Wizards of the Coast
Giant Snapping Turtle,Large,beast,unaligned,17,75,"30 ft., swim 40 ft.",19,10,14,2,12,5,,,,Darkvision 60,,3,"Amphibious, Stable",Tomb of Annihilation,,Wizards of the Coast
Giant Strider,Large,monstrosity,neutral evil,14,22,50 ft.,18,13,14,4,12,6,,,Fireimmu,Normal,,1,Fire Absorption,Volo's Guide to Monsters,,Wizards of the Coast
Giant Subterranean Lizard,Huge,beast,unaligned,14,66,"30 ft., swim 50 ft.",21,9,17,2,10,7,,Stealth,,Normal,,4,,Tales from the Yawning Portal,,Wizards of the Coast
"Giant, Cloud",Huge,giant,neutral,14,200,40 ft.,27,10,22,12,16,16,"Con, Wis, Cha","Insight, Perception",,Normal,"Common, Giant",9,"Keen Smell, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Giant, Cloud, Smiling One",Huge,"giant (giant, cloud)",chaotic neutral,15,262,40 ft.,26,12,22,15,16,17,"Con, Int, Cha","Deception, Insight, Perception, Sleight of Hand",,Normal,"Common, Giant",11,"INnate Spellcasting, Normal Spellcasting, Keen Smell",Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Fire",Huge,giant,lawful evil,18,162,30 ft.,25,9,23,10,14,13,"Dex, Con, Cha","Athletics, Perception",Fireimmu,Normal,Giant,9,,Monster Manual,,Wizards of the Coast
"Giant, Fire, Dreadnought",Huge,"giant (giant, fire)",lawful evil,21,187,30 ft.,27,9,23,8,10,11,"Dex, Con, Cha","Athletics, Perception",Fireimmu,Normal,Giant,14,Dual Shields,Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Frost",Huge,giant,neutral evil,15,138,40 ft.,23,9,21,9,10,12,"Con, Wis, Cha","Athletics, Perception",Coldimmu,Normal,Giant,8,,Monster Manual,,Wizards of the Coast
"Giant, Frost, Everlasting One",Huge,"giant (giant, frost)",chotic evil,15,189,40 ft.,25,9,24,9,10,12,"Str, Con, Wis","Athletics, Perception",COldimmu,Darkvision 60,Giant,12,"Extra Heads, Regeneration, Vaprak's Rage",Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Hill",Huge,giant,chotic evil,13,105,40 ft.,21,8,19,5,9,6,,Perception,,Normal,Giant,5,,Monster Manual,,Wizards of the Coast
"Giant, Hill, Mouth of Grolantor",Huge,"giant (giant, hill)",chotic evil,14,105,50 ft.,21,10,18,5,7,5,,Perception,Frightenedimmu,Normal,Giant,6,Mouth of Madness,Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Stone",Huge,giant,neutral,17,126,40 ft.,23,15,20,10,12,9,"Dex, Con, Wis","Athletics, Perception",,Darkvision 60,Giant,7,Stone Camouflage,Monster Manual,,Wizards of the Coast
"Giant, Stone, Dreamwalker",Huge,"giant (giant, stone)",chaotic neutral,18,161,40 ft.,23,14,21,10,8,12,"Dex, Con, Wis","Athletics, Perception","Charmedimmu, frightenedimmu",Darkvision 60,"Common, Giant",10,Dreamwalker's Charm,Volo's Guide to Monsters,,Wizards of the Coast
"Giant, Storm",Huge,giant,chaotic good,16,230,"50 ft., swim 50 ft.",29,14,20,16,18,18,"Str, Con, Wis, Cha","Arcana, Athletics, History, Perception","Coldres, lightningimmu, thunderimmu",Normal,"Common, Giant",13,"Amphibious, Innate Spellcasting",Monster Manual,,Wizards of the Coast
"Giant, Storm, Quintessent",Huge,"giant (giant, storm)",chaotic good,12,230,"50 ft., fly 50 ft., swim 50 ft.",29,14,20,17,20,19,"Str, Con, Wis, Cha","Arcana, History, Perception","Coldres, nonmagicalres, lightningimmu, thunderimmu",Truesight 60,"Common, Giant",16,"Amphibious, Legendary",Volo's Guide to Monsters,,Wizards of the Coast
Gibbering Mouther,Medium,aberration,neutral,9,67,"10 ft., swim 10 ft.",10,8,16,3,10,6,,,Proneimmu,Darkvision 60,,2,"Aberrant Ground, Gibbering",Monster Manual,,Wizards of the Coast
Giff,Medium,humanoid,lawful neutral,16,60,30 ft.,18,14,17,11,12,12,,,,Normal,Common,3,"Headfirst Charge, Firearms Knowledge",Mordenkainen's Tome of Foes,,Wizards of the Coast
Girallon,Large,monstrosity,unaligned,13,59,"40 ft., climb 40 ft.",18,16,16,5,12,7,,"Perception, Stealth",,Darkvision 60,,4,"Aggressive, Keen Smell",Volo's Guide to Monsters,,Wizards of the Coast
Githyanki Gish,Medium,humanoid (gith),lawful evil,17,123,30 ft.,17,15,14,16,15,16,"Con, Int, Wis","Insight, Perception, Stealth",,Normal,Own,10,"Innate Spellcasting (Psionics), Normal Spellcasting, War Magic",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githyanki Kith'Rak,Medium,humanoid (gith),lawful evil,18,180,30 ft.,18,16,17,16,15,17,"Con, Int, Wis","Intimidation, Perception",,Normal,Own,12,"Innate Spellcasting (Psionics), Rally the Troops",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githyanki Knight,Medium,humanoid,lawful evil,18,91,30 ft.,16,14,15,14,14,15,"Con, Int, Wis",,,Normal,Own,8,Innate Spellcasting,Monster Manual,,Wizards of the Coast
Githyanki Supreme Commander,Medium,humanoid (gith),lawful evil,18,187,30 ft.,19,17,18,16,16,18,"Con, Int, Wis","Insight, Intimidation, Perception",,Normal,Own,14,"Innate Spellcasting (Psionics), Legendary",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githyanki Warrior,Medium,humanoid,lawful evil,17,49,30 ft.,15,14,12,13,13,10,"Con, Int, Wis",,,Normal,Own,3,Innate Spellcasting,Monster Manual,,Wizards of the Coast
Githzerai Anarch,Medium,humanoid (gith),lawful neutral,20,144,30 ft.,16,21,18,18,20,14,"Str, Dex, Int, Wis","Arcana, Insight, Perception",,Normal,Own,16,"Innate Spellcasting (Psionics), Psychic Defense, Lair, Legendary",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githzerai Enlightened,Medium,humanoid (gith),lawful neutral,18,112,30 ft.,14,19,16,17,19,13,"Str, Dex, Int, Wis","Arcana, Insight, Perception",,Normal,Own,10,"Innate Spellcasting (Psionics), Psychic Defense",Mordenkainen's Tome of Foes,,Wizards of the Coast
Githzerai Monk,Medium,humanoid,lawful neutral,14,38,30 ft.,12,15,12,13,14,10,"Str, Dex, Int, Wis","Insight, Perception",,Normal,Own,2,"Innate Spellcasting (Psionics), Psychic Defense",Monster Manual,,Wizards of the Coast
Githzerai Zerth,Medium,humanoid,lawful neutral,17,84,30 ft.,13,18,15,16,17,12,"Str, Dex, Int, Wis","Arcana, Insight, Perception",,Normal,Own,6,"Innate Spellcasting, Psychic Defense",Monster Manual,,Wizards of the Coast
Gnoll,Medium,humanoid,chotic evil,15,22,30 ft.,14,12,11,6,10,7,,,,Darkvision 60,Gnoll,1/2,Rampage,Monster Manual,,Wizards of the Coast
Gnoll Fang of Yeenoghu,Medium,humanoid,chotic evil,14,65,30 ft.,17,15,15,10,11,13,"Con, Wis, Cha",,,Darkvision 60,"Abyssal, Gnoll",4,Rampage,Monster Manual,,Wizards of the Coast
Gnoll Flesh Gnawer,Medium,humanoid (gnoll),chotic evil,14,22,30 ft.,12,14,12,8,10,8,Dex,,,Darkvision 60,Gnoll,1,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
Gnoll Hunter,Medium,humanoid (gnoll),chotic evil,13,22,30 ft.,14,14,12,8,12,8,,"Perception, Stealth",,Darkvision 60,GNoll,1/2,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
Gnoll Pack Lord,Medium,humanoid,chotic evil,15,49,30 ft.,16,14,13,8,11,9,,,,Darkvision 60,Gnoll,2,Rampage,Monster Manual,,Wizards of the Coast
Gnoll Witherling,Medium,undead,chotic evil,12,11,30 ft.,14,8,12,5,5,5,,,"Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Gnoll,1/4,Rampage,Volo's Guide to Monsters,,Wizards of the Coast
"Gnoll, Flind",Medium,humanoid (gnoll),chotic evil,16,127,30 ft.,20,10,19,11,13,12,"Con, Wis","Intimation, Perception",,Darkvision 60,"Gnoll, Abyssal",9,Aura of Blood Thirst,Volo's Guide to Monsters,,Wizards of the Coast
"Gnome, Deep (Svirfneblin)",Small,humanoid,neutral good,15,16,20 ft.,15,14,14,12,10,9,,"Investigation, Perception, Stealth",,Darkvision 120,"Gnomish, Terran, Undercommon",1/2,"Stone Camouflage, Gnome Cunning, Innate Spellcasting",Monster Manual,,Wizards of the Coast
